TEI ID,TITLE,LEVEL,TYPE,PARENT NODE,,
c70240,Figaro,j,,bibl,http://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&exactSearch=false&query=%28%28%28dc.title%20adj%20%22Le%20Figaro%20%3A%20journal%20litt%C3%A9raire%20%3A%20th%C3%A9%C3%A2tre%2C%20critique%2C%20sciences%2C%20arts%2C%20moeurs%2C%20nouvelles%2C%20scandale%2C%20%C3%A9conomie%20domestique%2C%20biographie%2C%20bibliographie%2C%20modes%22%20or%20dc.title%20adj%20%22Figaro%20%3A%20%C3%A9lecteur%2C%20jur%C3%A9%2C%20contribuable%2C%20artiste%2C%20financier%2C%20auteur%2C%20industriel%2C%20homme%20du%20monde%20et%20journaliste%22%20%29%20or%20dc.title%20adj%20%22Figaro%20%3A%20journal%20non%20politique%22%20%29%20or%20dc.title%20adj%20%22Le%20Figaro%20%3A%20journal%20litt%C3%A9raire%20et%20d%27arts%22%20%29%20%20and%20%28dc.type%20all%20%22fascicule%22%29%20sortby%20dc.date%2Fsort.ascending,
c70250,L'Illustration,j,,bibl,https://catalog.hathitrust.org/Record/000051033,8
c70250,L'Illustration,j,,bibl,https://catalog.hathitrust.org/Record/000051033,
c70250,Figaro,j,,bibl,http://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&exactSearch=false&query=%28%28%28dc.title%20adj%20%22Le%20Figaro%20%3A%20journal%20litt%C3%A9raire%20%3A%20th%C3%A9%C3%A2tre%2C%20critique%2C%20sciences%2C%20arts%2C%20moeurs%2C%20nouvelles%2C%20scandale%2C%20%C3%A9conomie%20domestique%2C%20biographie%2C%20bibliographie%2C%20modes%22%20or%20dc.title%20adj%20%22Figaro%20%3A%20%C3%A9lecteur%2C%20jur%C3%A9%2C%20contribuable%2C%20artiste%2C%20financier%2C%20auteur%2C%20industriel%2C%20homme%20du%20monde%20et%20journaliste%22%20%29%20or%20dc.title%20adj%20%22Figaro%20%3A%20journal%20non%20politique%22%20%29%20or%20dc.title%20adj%20%22Le%20Figaro%20%3A%20journal%20litt%C3%A9raire%20et%20d%27arts%22%20%29%20%20and%20%28dc.type%20all%20%22fascicule%22%29%20sortby%20dc.date%2Fsort.ascending,
c70310,Les cinq Messieurs de Francfort,,th,p,,
c70310,Annales du théàtre et de la musique,s,,bibl,,
c70330,"Variet√†: Lettre di Rilke a Carlo Placci 1912-1914""",a,,bibl,,
c70330,Rivista di Letterature Moderne et Comparate,j,,bibl,https://catalog.hathitrust.org/Record/000681649?type%5B%5D=all&lookfor%5B%5D=Rivista%20di%20Letterature%20Moderne%20e%20Comparate&ft=,9
c70340,"Les Lettres: Quelques Livres: Du c√¥t√© de chez Swann, par Marcel Proust",a,,p,,
c70340,Du côté de chez Swann,,re,title,,
c70340,Du côté de chez Swann,,re,p,,
c70340,"Tout-Paris, Magazine illustré mondain",j,,bibl,,
c70350,Les philosophes et la Mode,a,,p,,
c70350,Figaro,s,,bibl,,
c70350,Une lettre de M. Bergson,a,,p,,
c70350,Figaro,s,,bibl,,
c70370,Parsifal,,op,p,,
c70380,A la Recherche,,re,p,,
